id,name,name:ru,destination,wikidata,wikipedia,gvr:code,members
1849983,"Поповка","Поповка",,"Q1783646","ru:Поповка (приток Колымы)",,5
14113197,"Правый Чульман",,,,,,2
6087317,"Россоха",,,"Q2491190","ru:Россоха (приток Алазеи)",,12
2103315,"Сартанг","Сартанг","Yana","Q1479580","ru:Сартанг",,23
1847317,"Седедема",,,"Q2264345","ru:Седедема",,13
170225,"Селеннях","Селеннях","Indigirka","Q1784612","ru:Селеннях","18050000312117700056441",29
2775973,"Силигир",,,"Q2359067","ru:Силигир","18020000112117600053749",5
177451,"Синяя","Синяя","Lena","Q969170","de:Sinjaja (Lena)",,14
15533645,"Сохлолох",,,,,,15
7721063,"Сугдюкан",,"Киллемтине",,,"18030800212117400010111",3
179521,"Суолама","Суолама","Anabar","Q1641005","ru:Суолама","18010000112117600044061",6
170474,"Сутам","Сутам","Gonam",,,,4
16195229,"Сыалах",,,"Q3954920","ru:Сыалах (река)",,4
7901469,"Сыпаранда","Сыпаранда","Хамаакы",,,"18030300112117200002824",3
5552855,"Сытыган","Сытыган","Eekit",,,"18030800412117400017644",2
5475282,"Сытыкан","Сытыкан","Daldyn river",,,"18030800412117400017354",4
7749479,"Сюлдьюкээр",,"Вилюй",,,"18030800312117400014064",4
9489405,"Сюльдюкээр",,"Нюя",,,"18030300112117200002954",4
176692,"Сюнгюде",,"Molodo",,,,12
3802396,"Сяпякинэ","Сяпякинэ",,"Q4448656","ru:Сяпякинэ",,5
3254872,"Татта","Татта",,"Q1033133","ru:Татта (река)","18030600912117300056478",28
168071,"Тимптон","Тимптон","Aldan",,,,20
175199,"Токко","Токко","Chara",,,,6
166705,"Томпо","Томпо","Aldan",,,,13
2665047,"Тонгуо","Тонгуо",,,,"18030800612117400023544",2
168456,"Тукулан","Тукулан","Aldan",,,"18030600912117300057604",5
168454,"Тумара","Тумара","Aldan",,,,9
8042197,"Туора","Туора","Моркока",,,"18030800412117400020019",2
176298,"Туостах","Туостах","Adycha","Q2005938","ru:Туостах","18040200112117700018370",23
194186,"Тыры","Тыры","Aldan",,,,5
2775781,"Тюкян","Тюкян","Вилюй","Q1785031","ru:Тюкян",,16
173728,"Тюнг","Тюнг","Vilyuy","Q1347142","ru:Тюнг","18030800512117400024443",16
179791,"Уджа","Уджа","Anabar",,,,9
2775782,"Улахан-Ботуобуйа",,"Вилюй",,,"18030800312117400012367",7
16193816,"Улахан-Вава",,,"Q1103850","ru:Улахан-Вава",,2
178041,"Ундюлюнг",,"Lena",,,,3
5482953,"Усук-Силигир","Усук-Силигир","Siligir river",,,"18020000112117600053916",3
167899,"Учур","Учур","Aldan","Q1074914","ru:Учур",,21
16236222,"Уэль-Сиктях",,,"Q4006859","ru:Уэль-Сиктях",,3
174390,"Уяндина","Уяндина","Indigirka","Q2312062","ru:Уяндина",,27
7901468,"Хамаакы","Хамаакы","Нюя",,,"18030300112117200002640",4
169989,"Хамна","Хамна","Aldan",,,,3
169975,"Ханда","Ханда","Aldan",,,,5
2775639,"Хандыга",,"Алдан",,,,3
179526,"Харабыл",,"Anabar","Q4495686","ru:Харабыл",,2
15643821,"Хоска",,,"Q35470771",,,6
175182,"Чара","Чара","Olyokma","Q1074898","ru:Чара (приток Олёкмы)","18030400212117200020787",17
2775937,"Чаркы",,"Адыча",,,,5
9501095,"Чаянда",,"Нюя",,,"123",4
173742,"Чимидикян","Чимидикян","Tyung",,,,3
174032,"Чиркуо","Чиркуо","Vilyuy",,,,3
166321,"Чона",,"Vilyuy",,,"18030800212117400008873",22
5974751,"Чондон",,,"Q2573766","ru:Чондон","18040300412117700029370",19
177681,"Чуга (Алдан)",,"Aldan",,,,3
6087318,"Чукочья",,,"Q1548523","ru:Большая Чукочья","18060000112117700075229",14
168324,"Чульман","Чульман",,"Q2470097","ru:Чульман (река)",,5
16466945,"Чына",,"Синяя","Q1946002","ru:Чына","18030500112117200034263",2
8035913,"Ыгыатта","Ыгыатта","Вилюй","Q259790","ru:Ыгыатта","18030800312117400016099",13
5522882,"Эйэкиит",,"Marha",,,"18030800412117400017606",2
2553379,"Эльги","Эльги",,"Q2450529","ru:Эльги",,5
174380,"Эрикит",,"Moma",,,,3
167754,"Юдома","Юдома","Maya","Q588592","ru:Юдома",,17
176123,"Яна","Яна","Laptev Sea","Q78861","ru:Яна (река)",,22
